lot,ID,Version,Flags,Serial Number,Name,PID
cgk-hfm-f,1141,n9000-13.2(1m),aliv,FDO224801VJ,aleaf-cgk-hfm-f14-1,N9K-C93108TC-FX
cgk-hfm-f,1150,n9000-13.2(1m),aliv,FDO224802ZW,aleaf-cgk-hfm-f15-0,N9K-C93108TC-FX
cgk-hfm-f,1151,n9000-13.2(1m),aliv,FDO2248030Y,aleaf-cgk-hfm-f15-1,N9K-C93108TC-FX
cgk-hfm-f,1160,n9000-13.2(1m),aliv,FDO2248032C,aleaf-cgk-hfm-f16-0,N9K-C93108TC-FX
cgk-hfm-f,1161,n9000-13.2(1m),aliv,FDO2248034F,aleaf-cgk-hfm-f16-1,N9K-C93108TC-FX
cgk-hfm-f,1170,n9000-13.2(1m),aliv,FDO22480351,aleaf-cgk-hfm-f17-0,N9K-C93108TC-FX
cgk-hfm-f,1171,n9000-13.2(1m),aliv,FDO22480352,aleaf-cgk-hfm-f17-1,N9K-C93108TC-FX
cgk-hso-b,201,n9000-13.2(1m),asiv,FGE22344VM0,spine-cgk-hso-b1,N9K-SUP-A+
cgk-hso-b,202,n9000-13.2(1m),asiv,FGE23345ZQW,spine-cgk-hso-b2,N9K-SUP-A+
cgk-hso-b,203,n9000-13.2(1m),asiv,FGE23345ZQE,spine-cgk-hso-b3,N9K-SUP-A+
cgk-hso-b,301,n9000-13.2(1m),aliv,FDO23460ANM,bleaf-cgk-hso-b1,N9K-C93180YC-FX
cgk-hso-b,302,n9000-13.2(1m),aliv,FDO23451E22,bleaf-cgk-hso-b2,N9K-C93180YC-FX
cgk-hso-b,303,n9000-13.2(1m),aliv,FDO23460ABN,bleaf-cgk-hso-b3,N9K-C93180YC-FX
cgk-hso-b,304,n9000-13.2(1m),aliv,FDO23460ACD,bleaf-cgk-hso-b4,N9K-C93180YC-FX
cgk-hso-b,1010,n9000-13.2(1m),aliv,FDO233502T3,aleaf-cgk-hso-b01-0,N9K-C93108TC-FX
cgk-hso-b,1011,n9000-13.2(1m),aliv,FDO233502SH,aleaf-cgk-hso-b01-1,N9K-C93108TC-FX
